trade_date,buysell,sec_id,shares,price,value,cash
2021-01-08,0,110033.XSHG,78,104.95,81861.0,918139.0
2021-01-08,0,110034.XSHG,78,94.099,73397.22,844741.78
2021-01-08,0,110070.XSHG,78,111.51,86977.8,757763.98
2021-01-08,0,113505.XSHG,78,99.12,77313.6,680450.38
2021-01-08,0,113534.XSHG,78,108.18,84380.40000000001,596069.98
2021-01-08,0,113578.XSHG,78,104.46,81478.79999999999,514591.18
2021-01-08,0,123028.XSHE,78,98.29,76666.20000000001,437924.98
2021-01-08,0,127003.XSHE,78,96.35,75153.0,362771.98
2021-01-08,0,128066.XSHE,78,99.96,77968.79999999999,284803.18
2021-01-08,0,128100.XSHE,78,96.845,75539.1,209264.08
2021-01-15,1,110034.XSHG,78,101.61,79255.8,288480.2521
2021-01-15,1,123028.XSHE,78,99.33,77477.4,365918.91339999996
2021-01-15,1,128066.XSHE,78,102.3,79794.0,445673.01639999996
2021-01-15,0,113033.XSHG,80,97.77,78216.0,367457.01639999996
2021-01-15,0,128063.XSHE,80,108.44,86752.0,280705.01639999996
2021-01-15,0,128105.XSHE,80,101.9,81520.0,199185.01639999996
2021-01-22,1,110033.XSHG,80,93.6,74880.0,274027.57639999996
2021-01-22,1,127003.XSHE,80,101.9,81520.0,355506.81639999995
2021-01-22,1,128105.XSHE,80,115.74,92591.99999999999,448052.5203999999
2021-01-22,0,110034.XSHG,80,91.413,73130.4,374922.1203999999
2021-01-22,0,123023.XSHE,80,95.333,76266.4,298655.7203999999
2021-01-22,0,128066.XSHE,80,99.697,79757.6,218898.12039999987
2021-01-29,1,128063.XSHE,80,92.15,73720.0,292581.26039999985
2021-01-29,1,110034.XSHG,80,92.15,73720.0,366264.40039999987
2021-01-29,1,123023.XSHE,80,92.15,73720.0,439947.5403999999
2021-01-29,0,123028.XSHE,85,99.79,84821.5,355126.0403999999
2021-01-29,0,128093.XSHE,85,82.0,69700.0,285426.0403999999
2021-01-29,0,128105.XSHE,85,97.451,82833.34999999999,202592.6903999999
2021-02-05,1,123028.XSHE,85,89.49,76066.5,278621.1571499999
2021-02-05,0,113030.XSHG,88,89.7,78936.0,199685.15714999993
2021-02-10,1,113030.XSHG,88,93.5,82280.0,281924.0171499999
2021-02-10,0,113568.XSHG,87,98.52,85712.4,196211.61714999992
2021-02-19,1,128105.XSHE,87,93.77,81579.9,277750.7271999999
2021-02-19,0,110033.XSHG,83,93.25,77397.5,200353.2271999999
2021-02-26,1,113578.XSHG,83,97.81,81182.3,281494.9360499999
2021-02-26,1,110033.XSHG,83,98.15,81464.5,362918.7037999999
2021-02-26,0,123023.XSHE,85,77.912,66225.20000000001,296693.5037999999
2021-02-26,0,128105.XSHE,85,90.76,77146.0,219547.5037999999
2021-03-05,1,113568.XSHG,85,97.88,83198.0,302703.9047999999
2021-03-05,1,123023.XSHE,85,97.88,83198.0,385860.3057999999
2021-03-05,1,128105.XSHE,85,97.88,83198.0,469016.7067999999
2021-03-05,0,110033.XSHG,80,100.1,80080.0,388936.7067999999
2021-03-05,0,110034.XSHG,80,80.4,64320.0,324616.7067999999
2021-03-05,0,113578.XSHG,80,109.21,87368.0,237248.70679999993
2021-03-12,1,110070.XSHG,80,95.434,76347.2,313557.7331999999
2021-03-12,1,128100.XSHE,80,95.914,76731.2,390250.5675999999
2021-03-12,0,110068.XSHG,79,98.4,77736.0,312514.5675999999
2021-03-12,0,123023.XSHE,79,96.6,76314.0,236200.5675999999
2021-03-19,1,113578.XSHG,79,110.85,87571.5,323728.2818499999
2021-03-19,1,110068.XSHG,79,110.85,87571.5,411255.99609999993
2021-03-19,1,123023.XSHE,79,110.85,87571.5,498783.71034999995
2021-03-19,0,110057.XSHG,78,98.19,76588.2,422195.51034999994
2021-03-19,0,128034.XSHE,78,106.205,82839.9,339355.61035
2021-03-19,0,128100.XSHE,78,105.94,82633.2,256722.41034999996
2021-03-26,1,113534.XSHG,78,107.99,84232.2,340912.49424999993
2021-03-26,1,110057.XSHG,78,109.39,85324.2,426194.0321499999
2021-03-26,0,110068.XSHG,79,98.9,78131.0,348063.0321499999
2021-03-26,0,113578.XSHG,79,102.33,80840.7,267222.3321499999
2021-04-02,1,113578.XSHG,79,100.15,79118.5,346301.2728999999
2021-04-02,0,110070.XSHG,79,110.06,86947.4,259353.87289999993
2021-04-09,1,110068.XSHG,79,97.726,77203.54000000001,336518.81112999993
2021-04-09,1,110070.XSHG,79,97.726,77203.54000000001,413683.7493599999
2021-04-09,0,110057.XSHG,78,102.889,80253.42,333430.3293599999
2021-04-09,0,113534.XSHG,78,99.68,77750.40000000001,255679.9293599999
2021-04-16,1,128100.XSHE,78,109.79,85636.20000000001,341273.31125999993
2021-04-16,1,110057.XSHG,78,109.79,85636.20000000001,426866.69315999997
2021-04-16,0,113532.XSHG,78,97.42,75987.6,350879.09315999993
2021-04-16,0,113578.XSHG,78,99.23,77399.40000000001,273479.6931599999
2021-04-23,1,128066.XSHE,78,99.05,77259.0,350700.0636599999
2021-04-23,1,113532.XSHG,78,97.57,76104.59999999999,426766.6113599999
2021-04-23,0,113527.XSHG,77,100.05,77038.5,349728.1113599999
2021-04-23,0,123028.XSHE,77,105.28,81065.6,268662.5113599999
2021-04-30,1,128093.XSHE,77,98.8,76076.0,344700.4733599999
2021-04-30,1,113578.XSHG,77,101.28,77985.6,422647.0805599999
2021-04-30,1,113527.XSHG,77,101.28,77985.6,500593.6877599999
2021-04-30,1,123028.XSHE,77,101.28,77985.6,578540.2949599999
2021-04-30,0,113027.XSHG,78,90.29,70426.20000000001,508114.09495999984
2021-04-30,0,113568.XSHG,78,109.2,85176.0,422938.09495999984
2021-04-30,0,113576.XSHG,78,102.04,79591.20000000001,343346.89495999983
2021-04-30,0,128064.XSHE,78,111.095,86654.1,256692.79495999982
2021-05-07,1,113027.XSHG,78,105.15,82017.0,338668.78645999986
2021-05-07,1,128064.XSHE,78,103.89,81034.2,419662.4693599999
2021-05-07,0,113564.XSHG,78,105.64,82399.2,337263.26935999986
2021-05-07,0,128066.XSHE,78,90.25,70395.0,266868.26935999986
2021-05-14,1,113568.XSHG,78,100.28,78218.4,345047.5601599999
2021-05-14,1,113576.XSHG,78,100.28,78218.4,423226.8509599999
2021-05-14,1,128066.XSHE,78,106.99,83452.2,506637.3248599999
2021-05-14,0,110056.XSHG,75,109.14,81855.0,424782.3248599999
2021-05-14,0,128064.XSHE,75,101.16,75870.0,348912.3248599999
2021-05-14,0,128107.XSHE,75,113.0,84750.0,264162.3248599999
2021-05-21,1,113564.XSHG,75,105.231,78923.25,343046.1132349999
2021-05-21,1,110056.XSHG,75,105.231,78923.25,421929.9016099999
2021-05-21,0,110068.XSHG,75,109.29,81967.5,339962.4016099999
2021-05-21,0,123007.XSHE,75,108.9,81675.0,258287.40160999988
2021-05-28,1,128107.XSHE,75,112.591,84443.24999999999,342688.4299849999
2021-05-28,1,123007.XSHE,75,100.05,75037.5,417688.4112349999
2021-05-28,0,113578.XSHG,76,100.3,76228.0,341460.4112349999
2021-05-28,0,128066.XSHE,76,102.0,77520.0,263940.4112349999
2021-06-04,1,113534.XSHG,76,108.003,82082.28,345981.6500949999
2021-06-04,1,113578.XSHG,76,109.58,83280.8,429220.8096949999
2021-06-04,1,128066.XSHE,76,109.58,83280.8,512459.9692949999
2021-06-04,0,113009.XSHG,74,99.97,73977.8,438482.1692949999
2021-06-04,0,128105.XSHE,74,114.199,84507.26000000001,353974.9092949999
2021-06-04,0,128107.XSHE,74,108.32,80156.79999999999,273818.1092949999
2021-06-11,1,128064.XSHE,74,108.27,80119.79999999999,353897.8493949999
2021-06-11,1,128105.XSHE,74,99.96,73970.4,427831.26419499994
2021-06-11,0,113578.XSHG,75,110.415,82811.25,345020.01419499994
2021-06-11,0,128066.XSHE,75,100.91,75682.5,269337.51419499994
2021-06-18,1,128066.XSHE,75,108.89,81667.5,350964.18044499995
2021-06-18,0,123023.XSHE,76,104.86,79693.59999999999,271270.58044499997
